x, y, theta
1044010226.431833, 10282999057.07241, -75162596.68775295
1148411245.899299, 11311298973.31126, -82678855.91652824
1263252359.513877, 12442428871.37836, -82678854.68952825
1263252353.471944, 14930914636.09198, -82678853.93852824
2526504689.836352, 29861829261.82383, -165357707.5390564
3789757020.450345, 44792743897.25131, -248036559.8280847
4168732725.394202, 49272018297.58762, -272840215.8119932
5419352539.783415, 64053623774.27132, -354692279.5012911
5961287803.435852, 70458986156.9341, -390161505.9928203
5961287795.397495, 70458986162.88262, -351145354.5466383
7153545345.043479, 84550783402.87594, -386259886.7365022
6438190814.665377, 76095705054.58996, -309007908.2732017
6438190822.864195, 76095705060.3153, -309007906.3482018
8369648073.373067, 98924416590.88707, -401710274.2694623
9206612870.344541, 108816858253.6568, -441881300.7097085
9206612860.419254, 108816858252.4367, -397693169.0817377
10127274136.06423, 119698544081.2725, -397693167.3187377
14178183801.55692, 179547816131.0957, -556770431.7318326
15596002180.19622, 197502597733.3102, -556770430.4058327
20274802846.88321, 256753377056.3904, -723801557.8986825
20274802841.71337, 256753377064.9504, -723801556.7216824
26357243693.38825, 359454727904.9013, -940942021.6568874
31628692420.67365, 431345673489.6521, -1035036223.141676
50605907858.56264, 733287644925.2566, -1656057955.532282
50605907850.55819, 733287644931.2507, -1656057954.686282
60727089412.54676, 879945173908.6681, -1987269544.113938
66799798347.37089, 1055934208700.138, -2185996497.128332
73479778191.66186, 1161527629575.603, -2185996494.840332
88175733822.05152, 1393833155481.728, -2623195792.001198
123446027343.7923, 1951366417662.342, -3410154526.966458
123446027334.1513, 2146503059431.498, -3410154525.318458
135790630060.9924, 2361153365383.466, -3751169974.907804
149369693068.686, 2597268701932.697, -3751169973.508804
164306662368.6126, 3116722442328.546, -4126286968.301085
213598661069.3859, 4051739175035.639, -5364173056.90641
213598661059.7339, 4051739175033.024, -5364173055.032411
213598661065.2124, 4051739175024.658, -5364173053.134412
448557188242.9148, 8508652267531.65, -10728346102.42482
538268625903.4709, 10210382721038.78, -11801180711.63331
645922351094.4956, 12252459265252.64, -14161416852.45397
839699056410.1268, 15928197044825.74, -16993700221.54436
1091608773325.515, 20706656158283.97, -20392440263.35483
1419091405332.997, 26918653005777.68, -26510172340.15518
1561000545855.525, 32302383606930.78, -29161189571.7342
1404900491266.608, 29072145246229.35, -26245070612.91108
1685880589514.191, 34886574295485.76, -28869577672.16609
1854468648474.974, 38375231725040.12, -31756535437.3268
3152596702400.357, 69075417105088.56, -53986110240.24766
3783116042889.51, 82890500526098.43, -64783332285.4076
4918050855743.866, 107757650683924.4, -84218331968.39218
10327906797061.49, 237066831504655.7, -176858497128.2623
11360697476774.89, 260773514655129.5, -194544346838.6939
13632836972125.33, 312928217586144.4, -213998781520.6955
16359404366558.99, 438099504620611.8, -256798537821.6882
26175046986507.45, 700959207392969.8, -385197806729.1633
36645065781113.28, 981342890350171.3, -539276929419.059
40309572359228.99, 1079477179385199.0, -593204622357.5681
56433401302934.07, 1511268051139282.0, -771166009062.487
62076741433235.76, 1813521661367146.0, -848282609966.2828
80699763863216.93, 2357578159777283.0, -1102767392953.895
88769740249527.66, 2593335975755011.0, -1213044132247.455
115400662324398.5, 3371336768481517.0, -1576957371918.991
161560927254171.3, 4719871475874120.0, -2207740320682.953
210029205430431.1, 6135832918636366.0, -2649288384818.093
273037967059547.5, 7976582794227278.0, -3179146061779.288
382253153883370.5, 1.196487419134093e+16, -4450804486488.862
420478469271717.0, 1.435784902960911e+16, -4895884935135.063
714813397761920.0, 2.440834335033546e+16, -8323004389726.973
929257417090484.8, 3.17308463554361e+16, -9987605267669.412
1208034642217643.0, 4.125010026206692e+16, -12983886847966.89
1449641570661163.0, 4.950012031448032e+16, -14282275532761.72
2319426513057876.0, 8.415020453461654e+16, -22851640852414.59
3479139769586801.0, 1.262253068019248e+17, -29707133108135.42
3827053746545490.0, 1.388478374821173e+17, -32677846418946.39
4592464495854592.0, 1.666174049785407e+17, -39213415702732.85
5970203844610976.0, 2.16602626472103e+17, -47056098843277.17
7164244613533184.0, 3.032436770609442e+17, -56467318611929.86
1.002994245894647e+16, 4.548655155914162e+17, -79054246056698.57
1.203593095073577e+16, 5.458386187096995e+17, -94865095268034.88
1.564671023595649e+16, 7.095902043226094e+17, -123324623848440.9
1.877605228314779e+16, 8.515082451871312e+17, -135657086233282.6
1.877605228314779e+16, 9.366590697058443e+17, -135657086233280.0
2.253126273977735e+16, 1.123990883647013e+18, -149222794856605.1
2.703751528773282e+16, 1.348789060376416e+18, -164145074342262.7
3.514876987405267e+16, 1.753425778489341e+18, -213388596644938.8
4.217852384886322e+16, 2.279453512036143e+18, -256066315973924.1
4.217852384886323e+16, 2.279453512036143e+18, -230459684376529.9
4.639637623374955e+16, 2.507398863239757e+18, -253505652814180.8
5.567565148049948e+16, 3.51035840853566e+18, -304206783377013.7
6.124321662854944e+16, 4.212430090242791e+18, -334627461714714.1
6.736753829140437e+16, 4.633673099267071e+18, -334627461714711.0
7.410429212054479e+16, 5.560407719120485e+18, -368090207886181.3
8.892515054465376e+16, 7.228530034856631e+18, -441708249463414.4
1.244952107625153e+17, 1.011994204879928e+19, -574220724302437.4
1.493942529150183e+17, 1.214393045855914e+19, -689064869162923.2
